기준일,종목코드,종목명,수량,현재가,비중(%),섹터,국가,통화,환율
2025-04-30,035900.KQ,JYP(035900.KQ),398,69200,8.56,Communication Services,한국,KRW,1
2025-04-30,BABA,알리바바(BABA),143,118.42,7.5,Information Technology,미국,USD,1424.71
2025-04-30,ROL,롤린스(ROL),268,56.61,6.72,Industrials,미국,USD,1424.71
2025-04-30,PM,필립모리스(PM),79,171,5.98,Consumer Staples,미국,USD,1424.71
2025-04-30,0700.HK,텐센트(0700.HK),200,477.2,5.45,Information Technology,홍콩,HKD,183.744
2025-04-30,GRAB,그랩 홀딩스(GRAB),2344,4.92,5.11,Information Technology,미국,USD,1424.71
2025-04-30,RACE,페라리(RACE),24,455.83,4.85,Consumer Discretionary,미국,USD,1424.71
2025-04-30,RMS.PA,에르메스(RMS.PA),4,2391,4.81,Consumer Discretionary,프랑스,EUR,1618.15
2025-04-30,DASH,도어대시(DASH),57,190.11,4.8,Information Technology,미국,USD,1424.71
2025-04-30,ABNB,에어비앤비(ABNB),89,119.14,4.7,Consumer Discretionary,미국,USD,1424.71
2025-04-30,HSY,허쉬(HSY),63,167.24,4.67,Consumer Staples,미국,USD,1424.71
2025-04-30,IDXX,아이덱스 래보라토리스(IDXX),24,433.55,4.61,Health Care,미국,USD,1424.71
2025-04-30,HD,홈디포(HD),29,356.73,4.58,Industrials,미국,USD,1424.71
2025-04-30,OTIS,오티스 월드와이드(OTIS),102,95.69,4.32,Industrials,미국,USD,1424.71
2025-04-30,MNST,몬스터 베버리지(MNST),152,60.03,4.04,Consumer Staples,미국,USD,1424.71
2025-04-30,AXP,아메리칸 익스프레스(AXP),34,262.99,3.96,Financials,미국,USD,1424.71
2025-04-30,067160.KQ,SOOP(067160.KQ),141,82100,3.6,Communication Services,한국,KRW,1
2025-04-30,DEO,디아지오(DEO),70,111.68,3.46,Consumer Staples,미국,USD,1424.71
2025-04-30,000858.SZ,오량액(000858.SZ),400,128.7,3.14,Consumer Staples,중국,CNY,195.93
2025-04-30,3690.HK,메이투안(3690.HK),400,130.3,2.98,Information Technology,홍콩,HKD,183.744
2025-04-30,2801.JT,깃코만(2801 JT),500,1395,2.17,Consumer Staples,일본,JPY,9.9875
2025-04-30,KOSPI,KOSPI,,2556,,,,,
2025-04-30,S&P,SPX,,5569,,,,,
2025-05-30,035900.KQ,JYP(035900.KQ),398,74900,9.16,Communication Services,한국,KRW,1
2025-05-30,BABA,알리바바(BABA),143,113.84,6.92,Information Technology,미국,USD,1383.28
2025-05-30,ROL,롤린스(ROL),268,57.25,6.52,Industrials,미국,USD,1383.28
2025-05-30,PM,필립모리스(PM),79,180.59,6.06,Consumer Staples,미국,USD,1383.28
2025-05-30,0700.HK,텐센트(0700.HK),200,478.78,5.19,Information Technology,홍콩,HKD,176.415
2025-05-30,GRAB,그랩 홀딩스(GRAB),2344,4.87,4.85,Information Technology,미국,USD,1383.28
2025-05-30,RACE,페라리(RACE),24,478.76,4.88,Consumer Discretionary,미국,USD,1383.28
2025-05-30,RMS.PA,에르메스(RMS.PA),4,2428,4.68,Consumer Discretionary,프랑스,EUR,1570.16
2025-05-30,DASH,도어대시(DASH),57,208.65,5.05,Information Technology,미국,USD,1383.28
2025-05-30,ABNB,에어비앤비(ABNB),89,129,4.88,Consumer Discretionary,미국,USD,1383.28
2025-05-30,HSY,허쉬(HSY),63,160.69,4.3,Consumer Staples,미국,USD,1383.28
2025-05-30,IDXX,아이덱스 래보라토리스(IDXX),24,513.36,5.23,Health Care,미국,USD,1383.28
2025-05-30,HD,홈디포(HD),29,368.29,4.54,Industrials,미국,USD,1383.28
2025-05-30,OTIS,오티스 월드와이드(OTIS),102,95.35,4.13,Industrials,미국,USD,1383.28
2025-05-30,MNST,몬스터 베버리지(MNST),152,63.95,4.13,Consumer Staples,미국,USD,1383.28
2025-05-30,AXP,아메리칸 익스프레스(AXP),34,294.05,4.25,Financials,미국,USD,1383.28
2025-05-30,067160.KQ,SOOP(067160.KQ),141,84800,3.67,Communication Services,한국,KRW,1
2025-05-30,DEO,디아지오(DEO),70,109.02,3.24,Consumer Staples,미국,USD,1383.28
2025-05-30,000858.SZ,오량액(000858.SZ),400,126.44,2.98,Consumer Staples,중국,CNY,192.13
2025-05-30,3690.HK,메이투안(3690.HK),400,138,2.99,Information Technology,홍콩,HKD,176.415
2025-05-30,2801 JT,깃코만(2801 JT),600,1322.5,2.34,Consumer Staples,일본,JPY,9.6094
2025-05-30,KOSPI,KOSPI,,2697,,,,,
2025-05-30,S&P,SPX,,5911,,,,,
2025-06-30,035900.KQ,JYP(035900.KQ),398,74300,8.9,Communication Services,한국,KRW,1
2025-06-30,BABA,알리바바(BABA),143,113.41,6.61,Information Technology,미국,USD,1352.9
2025-06-30,ROL,롤린스(ROL),268,56.42,6.16,Industrials,미국,USD,1352.9
2025-06-30,PM,필립모리스(PM),79,182.13,5.86,Consumer Staples,미국,USD,1352.9
2025-06-30,0700.HK,텐센트(0700.HK),200,503,5.22,Information Technology,홍콩,HKD,172.345
2025-06-30,GRAB,그랩 홀딩스(GRAB),2344,5.03,4.8,Information Technology,미국,USD,1352.9
2025-06-30,RACE,페라리(RACE),24,490.74,4.8,Consumer Discretionary,미국,USD,1352.9
2025-06-30,RMS.PA,에르메스(RMS.PA),5,2299,5.52,Consumer Discretionary,프랑스,EUR,1594.26
2025-06-30,DASH,도어대시(DASH),57,246.51,5.72,Information Technology,미국,USD,1352.9
2025-06-30,ABNB,에어비앤비(ABNB),89,132.34,4.8,Consumer Discretionary,미국,USD,1352.9
2025-06-30,HSY,허쉬(HSY),63,165.95,4.26,Consumer Staples,미국,USD,1352.9
2025-06-30,IDXX,아이덱스 래보라토리스(IDXX),24,536.34,5.24,Health Care,미국,USD,1352.9
2025-06-30,HD,홈디포(HD),29,366.64,4.33,Industrials,미국,USD,1352.9
2025-06-30,OTIS,오티스 월드와이드(OTIS),102,99.02,4.11,Industrials,미국,USD,1352.9
2025-06-30,MNST,몬스터 베버리지(MNST),152,62.64,3.88,Consumer Staples,미국,USD,1352.9
2025-06-30,AXP,아메리칸 익스프레스(AXP),34,318.98,4.42,Financials,미국,USD,1352.9
2025-06-30,067160.KQ,SOOP(067160.KQ),141,91200,3.87,Communication Services,한국,KRW,1
2025-06-30,DEO,디아지오(DEO),70,100.84,2.88,Consumer Staples,미국,USD,1352.9
2025-06-30,000858.SZ,오량액(000858.SZ),400,118.9,2.7,Consumer Staples,중국,CNY,188.85
2025-06-30,3690.HK,메이투안(3690.HK),500,125.3,3.25,Information Technology,홍콩,HKD,172.345
2025-06-30,2801 JT,깃코만(2801 JT),700,1338,2.65,Consumer Staples,일본,JPY,9.3958
2025-06-30,KOSPI,KOSPI,,3071,,,,,
2025-06-30,S&P,SPX,,6204,,,,,
2025-07-31,035900.KQ,JYP(035900.KQ),398,72700,8.62,Communication Services,한국,KRW,1
2025-07-31,BABA,알리바바(BABA),143,120.63,7.17,Information Technology,미국,USD,1395.65
2025-07-31,ROL,롤린스(ROL),268,57.27,6.38,Industrials,미국,USD,1395.65
2025-07-31,PM,필립모리스(PM),79,164.05,5.39,Consumer Staples,미국,USD,1395.65
2025-07-31,0700.HK,텐센트(0700.HK),200,550,5.83,Information Technology,홍콩,HKD,177.79
